id,uri,domain
193988,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb193988.html,schnitzler-kultur
193939,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb193939.html,schnitzler-kultur
193902,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb193902.html,schnitzler-kultur
193838,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb193838.html,schnitzler-kultur
193481,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb193481.html,schnitzler-kultur
193433,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb193433.html,schnitzler-kultur
193363,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb193363.html,schnitzler-kultur
193318,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb193318.html,schnitzler-kultur
193202,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb193202.html,schnitzler-kultur
193138,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb193138.html,schnitzler-kultur
190824,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb190824.html,schnitzler-kultur
186025,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb186025.html,schnitzler-kultur
185798,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb185798.html,schnitzler-kultur
185792,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb185792.html,schnitzler-kultur
185790,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb185790.html,schnitzler-kultur
185788,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb185788.html,schnitzler-kultur
185785,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb185785.html,schnitzler-kultur
185781,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb185781.html,schnitzler-kultur
185776,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb185776.html,schnitzler-kultur
185773,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb185773.html,schnitzler-kultur
185770,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb185770.html,schnitzler-kultur
185766,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb185766.html,schnitzler-kultur
185749,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb185749.html,schnitzler-kultur
185744,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb185744.html,schnitzler-kultur
185736,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb185736.html,schnitzler-kultur
185732,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb185732.html,schnitzler-kultur
185723,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb185723.html,schnitzler-kultur
185699,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb185699.html,schnitzler-kultur
185695,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb185695.html,schnitzler-kultur
